,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
83,BUY,2025-01-16 14:00:00,2025-01-24 15:00:00,2706.6,2782.86,2668.47,2782.86,0.03,win,248.66,12692.05
84,BUY,2025-01-20 03:00:00,2025-01-21 04:00:00,2696.84,2722.84,2683.84,2722.84,0.1,win,253.14,12945.19
85,BUY,2025-01-21 08:00:00,2025-01-30 17:00:00,2727.25,2790.61,2695.57,2790.61,0.04,win,258.62,13203.81
86,BUY,2025-01-21 15:00:00,2025-01-22 07:00:00,2729.27,2755.27,2716.27,2755.27,0.1,win,263.38,13467.19
87,BUY,2025-01-23 15:00:00,2025-01-31 14:00:00,2744.54,2801.08,2716.27,2801.08,0.05,win,268.99,13736.18
88,BUY,2025-01-27 09:00:00,2025-02-03 16:00:00,2752.35,2824.51,2716.27,2824.51,0.04,win,274.44,14010.62
89,BUY,2025-01-30 13:00:00,2025-01-31 17:00:00,2780.58,2813.28,2764.23,2813.28,0.09,win,279.58,14290.2
90,BUY,2025-01-31 08:00:00,2025-02-05 07:00:00,2795.71,2858.67,2764.23,2858.67,0.05,win,285.45,14575.65
91,BUY,2025-02-04 09:00:00,2025-02-04 17:00:00,2815.63,2841.63,2802.63,2841.63,0.11,win,290.74,14866.39
92,BUY,2025-02-05 15:00:00,2025-02-18 09:00:00,2864.81,2911.58,2802.63,2989.17,0.02,win,93.4,14959.79
93,BUY,2025-02-07 15:00:00,2025-02-20 09:00:00,2865.49,2948.95,2802.63,2991.21,0.02,win,166.78,15126.57
94,BUY,2025-02-14 09:00:00,2025-02-27 03:00:00,2934.81,2912.6,2802.63,3199.17,0.01,loss,-22.28,15104.29
95,BUY,2025-02-25 09:00:00,2025-03-10 01:00:00,2934.55,2911.86,2802.63,3198.39,0.01,loss,-22.76,15081.53
96,SELL,2025-02-27 15:00:00,2025-02-28 06:00:00,2886.02,2857.16,2900.45,2857.16,0.1,win,300.93,15382.46
97,SELL,2025-03-03 14:00:00,2025-03-03 17:00:00,2872.63,2886.99,2886.99,2843.9,0.11,loss,-154.59,15227.87
98,BUY,2025-03-13 15:00:00,2025-03-13 18:00:00,2945.46,2971.46,2932.46,2971.46,0.12,win,303.72,15531.59
99,BUY,2025-03-18 08:00:00,2025-03-28 23:00:00,3014.97,3084.56,2932.46,3179.99,0.02,win,139.04,15670.63
100,BUY,2025-03-28 07:00:00,2025-04-09 22:00:00,3076.81,3093.46,2932.46,3365.51,0.01,win,16.58,15687.21
101,BUY,2025-04-02 09:00:00,2025-04-15 01:00:00,3119.52,3212.19,2932.46,3493.64,0.01,win,92.6,15779.81
102,SELL,2025-04-08 14:00:00,2025-04-08 20:00:00,3014.42,2984.28,3029.49,2984.28,0.1,win,314.9,16094.71
103,BUY,2025-04-21 07:00:00,2025-05-01 22:00:00,3379.48,3228.18,3107.0,3924.44,0.01,loss,-151.37,15943.34
104,BUY,2025-04-22 07:00:00,2025-05-02 22:00:00,3487.39,3233.51,3107.0,4248.17,0.01,loss,-253.95,15689.39
105,BUY,2025-04-30 14:00:00,2025-05-13 06:00:00,3274.83,3236.71,3107.0,3610.49,0.01,loss,-38.19,15651.2
106,SELL,2025-05-01 13:00:00,2025-05-01 23:00:00,3219.96,3236.06,3236.06,3187.76,0.1,loss,-157.21,15493.99
107,SELL,2025-05-02 14:00:00,2025-05-02 19:00:00,3259.67,3227.07,3275.97,3227.07,0.1,win,309.18,15803.17
108,BUY,2025-05-06 08:00:00,2025-05-16 23:00:00,3365.02,3201.1,3107.0,3881.06,0.01,loss,-163.99,15639.18
109,BUY,2025-05-06 14:00:00,2025-05-19 06:00:00,3382.15,3212.15,3107.0,3932.45,0.01,loss,-170.07,15469.11
110,SELL,2025-05-12 09:00:00,2025-05-12 10:00:00,3274.63,3241.88,3291.0,3241.88,0.09,win,308.75,15777.86
111,SELL,2025-05-14 13:00:00,2025-05-14 15:00:00,3232.63,3200.3,3248.79,3200.3,0.1,win,314.86,16092.72
112,SELL,2025-05-19 03:00:00,2025-05-19 06:00:00,3243.45,3211.02,3259.67,3211.02,0.1,win,321.15,16413.87
